year,state_short,state_long,indicator,value
1984,ND,North Dakota,sped total,105
1984,ND,North Dakota,state total,940
1984,ND,North Dakota,stem total,40
1984,NE,Nebraska,elem ba,659
1984,NE,Nebraska,other ba,589
1984,NE,Nebraska,sped ba,93
1984,NE,Nebraska,stem ba,146
1984,NE,Nebraska,elem ma,67
1984,NE,Nebraska,other ma,431
1984,NE,Nebraska,sped ma,77
1984,NE,Nebraska,stem ma,31
1984,NE,Nebraska,elem phd,0
1984,NE,Nebraska,other phd,41
1984,NE,Nebraska,sped phd,0
1984,NE,Nebraska,stem phd,0
1984,NE,Nebraska,agg total,177371
1984,NE,Nebraska,ba total,1487
1984,NE,Nebraska,elem total,726
1984,NE,Nebraska,ma total,606
1984,NE,Nebraska,other total,1061
1984,NE,Nebraska,phd total,41
1984,NE,Nebraska,sped total,170
1984,NE,Nebraska,state total,2134
1984,NE,Nebraska,stem total,177
1984,NH,New Hampshire,elem ba,123
1984,NH,New Hampshire,other ba,166
1984,NH,New Hampshire,sped ba,52
1984,NH,New Hampshire,stem ba,20
1984,NH,New Hampshire,elem ma,21
1984,NH,New Hampshire,other ma,211
1984,NH,New Hampshire,sped ma,31
1984,NH,New Hampshire,stem ma,6
1984,NH,New Hampshire,elem phd,0
1984,NH,New Hampshire,other phd,0
1984,NH,New Hampshire,sped phd,0
1984,NH,New Hampshire,stem phd,0
1984,NH,New Hampshire,agg total,177371
1984,NH,New Hampshire,ba total,361
1984,NH,New Hampshire,elem total,144
1984,NH,New Hampshire,ma total,269
1984,NH,New Hampshire,other total,377
1984,NH,New Hampshire,phd total,0
1984,NH,New Hampshire,sped total,83
1984,NH,New Hampshire,state total,630
1984,NH,New Hampshire,stem total,26
1984,NJ,New Jersey,elem ba,944
1984,NJ,New Jersey,other ba,539
1984,NJ,New Jersey,sped ba,397
1984,NJ,New Jersey,stem ba,123
1984,NJ,New Jersey,elem ma,187
1984,NJ,New Jersey,other ma,1293
1984,NJ,New Jersey,sped ma,312
1984,NJ,New Jersey,stem ma,124
1984,NJ,New Jersey,elem phd,21
1984,NJ,New Jersey,other phd,71
1984,NJ,New Jersey,sped phd,4
1984,NJ,New Jersey,stem phd,13
1984,NJ,New Jersey,agg total,177371
1984,NJ,New Jersey,ba total,2003
1984,NJ,New Jersey,elem total,1152
1984,NJ,New Jersey,ma total,1916
1984,NJ,New Jersey,other total,1903
1984,NJ,New Jersey,phd total,109
1984,NJ,New Jersey,sped total,713
1984,NJ,New Jersey,state total,4028
1984,NJ,New Jersey,stem total,260
1984,NM,New Mexico,elem ba,270
1984,NM,New Mexico,other ba,261
1984,NM,New Mexico,sped ba,40
1984,NM,New Mexico,stem ba,30
1984,NM,New Mexico,elem ma,136
1984,NM,New Mexico,other ma,437
1984,NM,New Mexico,sped ma,64
1984,NM,New Mexico,stem ma,4
1984,NM,New Mexico,elem phd,0
1984,NM,New Mexico,other phd,71
1984,NM,New Mexico,sped phd,0
1984,NM,New Mexico,stem phd,0
1984,NM,New Mexico,agg total,177371
1984,NM,New Mexico,ba total,601
1984,NM,New Mexico,elem total,406
1984,NM,New Mexico,ma total,641
1984,NM,New Mexico,other total,769
1984,NM,New Mexico,phd total,71
1984,NM,New Mexico,sped total,104
1984,NM,New Mexico,state total,1313
1984,NM,New Mexico,stem total,34
1984,NV,Nevada,elem ba,88
1984,NV,Nevada,other ba,102
1984,NV,Nevada,sped ba,39
1984,NV,Nevada,stem ba,7
1984,NV,Nevada,elem ma,9
1984,NV,Nevada,other ma,176
1984,NV,Nevada,sped ma,32
1984,NV,Nevada,stem ma,0
1984,NV,Nevada,elem phd,0
1984,NV,Nevada,other phd,8
1984,NV,Nevada,sped phd,1
1984,NV,Nevada,stem phd,0
1984,NV,Nevada,agg total,177371
1984,NV,Nevada,ba total,236
1984,NV,Nevada,elem total,97
1984,NV,Nevada,ma total,217
1984,NV,Nevada,other total,286
1984,NV,Nevada,phd total,9
1984,NV,Nevada,sped total,72
1984,NV,Nevada,state total,462
1984,NV,Nevada,stem total,7
1984,NY,New York,elem ba,2153
1984,NY,New York,other ba,1535
1984,NY,New York,sped ba,926
1984,NY,New York,stem ba,284
1984,NY,New York,elem ma,1231
1984,NY,New York,other ma,3818
1984,NY,New York,sped ma,2245
1984,NY,New York,stem ma,147
1984,NY,New York,elem phd,10
1984,NY,New York,other phd,430
1984,NY,New York,sped phd,20
