,year,state_short,state_long,indicator,value
15574,1998,OK,Oklahoma,State Total,4373
15575,1998,OK,Oklahoma,STEM Total,195
15589,1998,OR,Oregon,Bachelor Total,619
15590,1998,OR,Oregon,Elementary Total,426
15591,1998,OR,Oregon,Masters Total,1550
15592,1998,OR,Oregon,Other Total,1537
15593,1998,OR,Oregon,PhD Total,64
15594,1998,OR,Oregon,SPED Total,199
15595,1998,OR,Oregon,State Total,2233
15596,1998,OR,Oregon,STEM Total,71
15610,1998,PA,Pennsylvania,Bachelor Total,7042
15611,1998,PA,Pennsylvania,Elementary Total,4808
15612,1998,PA,Pennsylvania,Masters Total,4625
15613,1998,PA,Pennsylvania,Other Total,5356
15614,1998,PA,Pennsylvania,PhD Total,337
15615,1998,PA,Pennsylvania,SPED Total,1376
15616,1998,PA,Pennsylvania,State Total,12004
15617,1998,PA,Pennsylvania,STEM Total,464
15631,1998,RI,Rhode Island,Bachelor Total,603
15632,1998,RI,Rhode Island,Elementary Total,198
15633,1998,RI,Rhode Island,Masters Total,387
15634,1998,RI,Rhode Island,Other Total,464
15635,1998,RI,Rhode Island,PhD Total,0
15636,1998,RI,Rhode Island,SPED Total,281
15637,1998,RI,Rhode Island,State Total,990
15638,1998,RI,Rhode Island,STEM Total,47
15652,1998,SC,South Carolina,Bachelor Total,2059
15653,1998,SC,South Carolina,Elementary Total,1668
15654,1998,SC,South Carolina,Masters Total,1687
15655,1998,SC,South Carolina,Other Total,1583
15656,1998,SC,South Carolina,PhD Total,93
15657,1998,SC,South Carolina,SPED Total,468
15658,1998,SC,South Carolina,State Total,3839
15659,1998,SC,South Carolina,STEM Total,120
15673,1998,SD,South Dakota,Bachelor Total,675
15674,1998,SD,South Dakota,Elementary Total,454
15675,1998,SD,South Dakota,Masters Total,235
15676,1998,SD,South Dakota,Other Total,381
15677,1998,SD,South Dakota,PhD Total,45
15678,1998,SD,South Dakota,SPED Total,66
15679,1998,SD,South Dakota,State Total,955
15680,1998,SD,South Dakota,STEM Total,54
15694,1998,TN,Tennessee,Bachelor Total,1385
15695,1998,TN,Tennessee,Elementary Total,589
15696,1998,TN,Tennessee,Masters Total,2523
15697,1998,TN,Tennessee,Other Total,2898
15698,1998,TN,Tennessee,PhD Total,140
15699,1998,TN,Tennessee,SPED Total,407
15700,1998,TN,Tennessee,State Total,4048
15701,1998,TN,Tennessee,STEM Total,154
15715,1998,TX,Texas,Bachelor Total,2598
15716,1998,TX,Texas,Elementary Total,1529
15717,1998,TX,Texas,Masters Total,5178
15718,1998,TX,Texas,Other Total,5905
15719,1998,TX,Texas,PhD Total,430
15720,1998,TX,Texas,SPED Total,461
15721,1998,TX,Texas,State Total,8206
15722,1998,TX,Texas,STEM Total,311
15736,1998,UT,Utah,Bachelor Total,1942
15737,1998,UT,Utah,Elementary Total,1163
15738,1998,UT,Utah,Masters Total,724
15739,1998,UT,Utah,Other Total,1186
15740,1998,UT,Utah,PhD Total,39
15741,1998,UT,Utah,SPED Total,194
15742,1998,UT,Utah,State Total,2705
15743,1998,UT,Utah,STEM Total,162
15757,1998,VA,Virginia,Bachelor Total,821
15758,1998,VA,Virginia,Elementary Total,680
15759,1998,VA,Virginia,Masters Total,3468
15760,1998,VA,Virginia,Other Total,3283
15761,1998,VA,Virginia,PhD Total,219
15762,1998,VA,Virginia,SPED Total,401
15763,1998,VA,Virginia,State Total,4508
15764,1998,VA,Virginia,STEM Total,144
15778,1998,VT,Vermont,Bachelor Total,289
15779,1998,VT,Vermont,Elementary Total,254
15780,1998,VT,Vermont,Masters Total,500
15781,1998,VT,Vermont,Other Total,491
15782,1998,VT,Vermont,PhD Total,11
15783,1998,VT,Vermont,SPED Total,48
15784,1998,VT,Vermont,State Total,800
15785,1998,VT,Vermont,STEM Total,7
15799,1998,WA,Washington,Bachelor Total,1628
15800,1998,WA,Washington,Elementary Total,523
15801,1998,WA,Washington,Masters Total,2598
15802,1998,WA,Washington,Other Total,2991
15803,1998,WA,Washington,PhD Total,101
15804,1998,WA,Washington,SPED Total,261
15805,1998,WA,Washington,State Total,4327
15806,1998,WA,Washington,STEM Total,552
15820,1998,WI,Wisconsin,Bachelor Total,2525
15821,1998,WI,Wisconsin,Elementary Total,1284
15822,1998,WI,Wisconsin,Masters Total,1886
15823,1998,WI,Wisconsin,Other Total,2591
15824,1998,WI,Wisconsin,PhD Total,87
15825,1998,WI,Wisconsin,SPED Total,457
15826,1998,WI,Wisconsin,State Total,4498
15827,1998,WI,Wisconsin,STEM Total,166
15841,1998,WV,West Virginia,Bachelor Total,1094
15842,1998,WV,West Virginia,Elementary Total,591
15843,1998,WV,West Virginia,Masters Total,901
15844,1998,WV,West Virginia,Other Total,1221
15845,1998,WV,West Virginia,PhD Total,40
15846,1998,WV,West Virginia,SPED Total,206
15847,1998,WV,West Virginia,State Total,2035
15848,1998,WV,West Virginia,STEM Total,17
15862,1998,WY,Wyoming,Bachelor Total,265
15863,1998,WY,Wyoming,Elementary Total,131
15864,1998,WY,Wyoming,Masters Total,75
15865,1998,WY,Wyoming,Other Total,195
15866,1998,WY,Wyoming,PhD Total,9
15867,1998,WY,Wyoming,SPED Total,18
15868,1998,WY,Wyoming,State Total,349
15869,1998,WY,Wyoming,STEM Total,5
15883,1999,AK,Alaska,Bachelor Total,228
15884,1999,AK,Alaska,Elementary Total,161
15885,1999,AK,Alaska,Masters Total,187
15886,1999,AK,Alaska,Other Total,234
15887,1999,AK,Alaska,PhD Total,0
15888,1999,AK,Alaska,SPED Total,20
15889,1999,AK,Alaska,State Total,415
15890,1999,AK,Alaska,STEM Total,0
15904,1999,AL,Alabama,Bachelor Total,3067
15905,1999,AL,Alabama,Elementary Total,2487
15906,1999,AL,Alabama,Masters Total,2560
15907,1999,AL,Alabama,Other Total,2570
15908,1999,AL,Alabama,PhD Total,94
15909,1999,AL,Alabama,SPED Total,478
15910,1999,AL,Alabama,State Total,5721
15911,1999,AL,Alabama,STEM Total,186
15925,1999,AR,Arkansas,Bachelor Total,1459
15926,1999,AR,Arkansas,Elementary Total,1051
15927,1999,AR,Arkansas,Masters Total,885
15928,1999,AR,Arkansas,Other Total,950
15929,1999,AR,Arkansas,PhD Total,45
15930,1999,AR,Arkansas,SPED Total,224
15931,1999,AR,Arkansas,State Total,2389
15932,1999,AR,Arkansas,STEM Total,164
15946,1999,AZ,Arizona,Bachelor Total,2358
15947,1999,AZ,Arizona,Elementary Total,2003
15948,1999,AZ,Arizona,Masters Total,2499
15949,1999,AZ,Arizona,Other Total,2455
15950,1999,AZ,Arizona,PhD Total,141
15951,1999,AZ,Arizona,SPED Total,408
15952,1999,AZ,Arizona,State Total,4998
15953,1999,AZ,Arizona,STEM Total,132
15967,1999,CA, California,Bachelor Total,3809
15968,1999,CA, California,Elementary Total,1744
15969,1999,CA, California,Masters Total,8595
15970,1999,CA, California,Other Total,10372
15971,1999,CA, California,PhD Total,537
15972,1999,CA, California,SPED Total,506
15973,1999,CA, California,State Total,12941
15974,1999,CA, California,STEM Total,319
15988,1999,CO,Colorado,Bachelor Total,114
15989,1999,CO,Colorado,Elementary Total,244
15990,1999,CO,Colorado,Masters Total,1558
15991,1999,CO,Colorado,Other Total,1258
15992,1999,CO,Colorado,PhD Total,89
15993,1999,CO,Colorado,SPED Total,248
15994,1999,CO,Colorado,State Total,1761
15995,1999,CO,Colorado,STEM Total,11
16009,1999,CT,Connecticut,Bachelor Total,540
16010,1999,CT,Connecticut,Elementary Total,749
16011,1999,CT,Connecticut,Masters Total,2195
16012,1999,CT,Connecticut,Other Total,1510
16013,1999,CT,Connecticut,PhD Total,36
16014,1999,CT,Connecticut,SPED Total,352
16015,1999,CT,Connecticut,State Total,2771
16016,1999,CT,Connecticut,STEM Total,160
16030,1999,DE,Delaware,Bachelor Total,516
16031,1999,DE,Delaware,Elementary Total,422
16032,1999,DE,Delaware,Masters Total,437
16033,1999,DE,Delaware,Other Total,474
16034,1999,DE,Delaware,PhD Total,29
16035,1999,DE,Delaware,SPED Total,53
16036,1999,DE,Delaware,State Total,982
16037,1999,DE,Delaware,STEM Total,33
16051,1999,FL,Florida,Bachelor Total,6000
16052,1999,FL,Florida,Elementary Total,4178
16053,1999,FL,Florida,Masters Total,4289
16054,1999,FL,Florida,Other Total,4354
16055,1999,FL,Florida,PhD Total,647
16056,1999,FL,Florida,SPED Total,1734
16057,1999,FL,Florida,State Total,10936
16058,1999,FL,Florida,STEM Total,670
16072,1999,GA,Georgia,Bachelor Total,3742
16073,1999,GA,Georgia,Elementary Total,2400
16074,1999,GA,Georgia,Masters Total,3408
16075,1999,GA,Georgia,Other Total,3682
16076,1999,GA,Georgia,PhD Total,181
16077,1999,GA,Georgia,SPED Total,659
16078,1999,GA,Georgia,State Total,7331
16079,1999,GA,Georgia,STEM Total,590
16093,1999,HI,Hawaii,Bachelor Total,315
16094,1999,HI,Hawaii,Elementary Total,98
16095,1999,HI,Hawaii,Masters Total,272
16096,1999,HI,Hawaii,Other Total,393
16097,1999,HI,Hawaii,PhD Total,9
16098,1999,HI,Hawaii,SPED Total,39
16099,1999,HI,Hawaii,State Total,596
16100,1999,HI,Hawaii,STEM Total,66
16114,1999,IA,Iowa,Bachelor Total,2308
16115,1999,IA,Iowa,Elementary Total,1670
16116,1999,IA,Iowa,Masters Total,891
16117,1999,IA,Iowa,Other Total,1210
16118,1999,IA,Iowa,PhD Total,121
16119,1999,IA,Iowa,SPED Total,167
16120,1999,IA,Iowa,State Total,3320
16121,1999,IA,Iowa,STEM Total,273
16135,1999,ID,Idaho,Bachelor Total,876
16136,1999,ID,Idaho,Elementary Total,458
16137,1999,ID,Idaho,Masters Total,419
16138,1999,ID,Idaho,Other Total,748
16139,1999,ID,Idaho,PhD Total,40
16140,1999,ID,Idaho,SPED Total,38
16141,1999,ID,Idaho,State Total,1335
16142,1999,ID,Idaho,STEM Total,91
16156,1999,IL,Illinois,Bachelor Total,6158
16157,1999,IL,Illinois,Elementary Total,4069
16158,1999,IL,Illinois,Masters Total,6783
16159,1999,IL,Illinois,Other Total,6956
16160,1999,IL,Illinois,PhD Total,395
16161,1999,IL,Illinois,SPED Total,1150
16162,1999,IL,Illinois,State Total,13336
16163,1999,IL,Illinois,STEM Total,1161
16177,1999,IN,Indiana,Bachelor Total,4028
16178,1999,IN,Indiana,Elementary Total,2483
16179,1999,IN,Indiana,Masters Total,1721
16180,1999,IN,Indiana,Other Total,2813
16181,1999,IN,Indiana,PhD Total,128
16182,1999,IN,Indiana,SPED Total,299
16183,1999,IN,Indiana,State Total,5877
16184,1999,IN,Indiana,STEM Total,282
16198,1999,KS,Kansas,Bachelor Total,1775
16199,1999,KS,Kansas,Elementary Total,1192
16200,1999,KS,Kansas,Masters Total,1401
16201,1999,KS,Kansas,Other Total,1772
16202,1999,KS,Kansas,PhD Total,91
16203,1999,KS,Kansas,SPED Total,232
16204,1999,KS,Kansas,State Total,3267
16205,1999,KS,Kansas,STEM Total,71
16219,1999,KY,Kentucky,Bachelor Total,2051
16220,1999,KY,Kentucky,Elementary Total,1585
16221,1999,KY,Kentucky,Masters Total,1949
16222,1999,KY,Kentucky,Other Total,2034
16223,1999,KY,Kentucky,PhD Total,57
16224,1999,KY,Kentucky,SPED Total,318
16225,1999,KY,Kentucky,State Total,4057
16226,1999,KY,Kentucky,STEM Total,120
16240,1999,LA,Louisiana,Bachelor Total,2336
16241,1999,LA,Louisiana,Elementary Total,1250
16242,1999,LA,Louisiana,Masters Total,1407
16243,1999,LA,Louisiana,Other Total,2246
16244,1999,LA,Louisiana,PhD Total,86
16245,1999,LA,Louisiana,SPED Total,236
16246,1999,LA,Louisiana,State Total,3829
16247,1999,LA,Louisiana,STEM Total,97
16261,1999,MA,Massachusetts,Bachelor Total,1746
16262,1999,MA,Massachusetts,Elementary Total,1344
16263,1999,MA,Massachusetts,Masters Total,6408
16264,1999,MA,Massachusetts,Other Total,5665
16265,1999,MA,Massachusetts,PhD Total,202
16266,1999,MA,Massachusetts,SPED Total,726
16267,1999,MA,Massachusetts,State Total,8356
16268,1999,MA,Massachusetts,STEM Total,621
16282,1999,MD,Maryland,Bachelor Total,1470
16283,1999,MD,Maryland,Elementary Total,1118
16284,1999,MD,Maryland,Masters Total,2417
16285,1999,MD,Maryland,Other Total,2375
16286,1999,MD,Maryland,PhD Total,83
16287,1999,MD,Maryland,SPED Total,410
16288,1999,MD,Maryland,State Total,3970
16289,1999,MD,Maryland,STEM Total,67
16303,1999,ME,Maine,Bachelor Total,588
16304,1999,ME,Maine,Elementary Total,311
16305,1999,ME,Maine,Masters Total,463
16306,1999,ME,Maine,Other Total,569
16307,1999,ME,Maine,PhD Total,7
16308,1999,ME,Maine,SPED Total,117
16309,1999,ME,Maine,State Total,1058
16310,1999,ME,Maine,STEM Total,61
16324,1999,MI,Michigan,Bachelor Total,3716
16325,1999,MI,Michigan,Elementary Total,2078
16326,1999,MI,Michigan,Masters Total,4489
16327,1999,MI,Michigan,Other Total,4749
16328,1999,MI,Michigan,PhD Total,149
16329,1999,MI,Michigan,SPED Total,884
16330,1999,MI,Michigan,State Total,8354
16331,1999,MI,Michigan,STEM Total,643
16345,1999,MN,Minnesota,Bachelor Total,2621
16346,1999,MN,Minnesota,Elementary Total,1424
16347,1999,MN,Minnesota,Masters Total,2722
16348,1999,MN,Minnesota,Other Total,3411
16349,1999,MN,Minnesota,PhD Total,98
16350,1999,MN,Minnesota,SPED Total,378
16351,1999,MN,Minnesota,State Total,5441
16352,1999,MN,Minnesota,STEM Total,228
16366,1999,MO,Missouri,Bachelor Total,3367
16367,1999,MO,Missouri,Elementary Total,2075
16368,1999,MO,Missouri,Masters Total,2924
16369,1999,MO,Missouri,Other Total,3915
16370,1999,MO,Missouri,PhD Total,137
16371,1999,MO,Missouri,SPED Total,315
16372,1999,MO,Missouri,State Total,6428
16373,1999,MO,Missouri,STEM Total,123
16387,1999,MS,Mississippi,Bachelor Total,1634
16388,1999,MS,Mississippi,Elementary Total,1223
16389,1999,MS,Mississippi,Masters Total,1517
16390,1999,MS,Mississippi,Other Total,1722
16391,1999,MS,Mississippi,PhD Total,139
16392,1999,MS,Mississippi,SPED Total,238
16393,1999,MS,Mississippi,State Total,3290
16394,1999,MS,Mississippi,STEM Total,107
16408,1999,MT,Montana,Bachelor Total,789
16409,1999,MT,Montana,Elementary Total,444
16410,1999,MT,Montana,Masters Total,204
16411,1999,MT,Montana,Other Total,460
16412,1999,MT,Montana,PhD Total,25
16413,1999,MT,Montana,SPED Total,62
16414,1999,MT,Montana,State Total,1018
16415,1999,MT,Montana,STEM Total,52
16416,1999,NAT,National Total,Bachelor Total,107406
16417,1999,NAT,National Total,Elementary Total,69793
16418,1999,NAT,National Total,Masters Total,117591
16419,1999,NAT,National Total,Other Total,128118
16420,1999,NAT,National Total,PhD Total,6427
16421,1999,NAT,National Total,SPED Total,22174
16422,1999,NAT,National Total,State Total,231424
16423,1999,NAT,National Total,STEM Total,11339
16437,1999,NC,North Carolina,Bachelor Total,3125
16438,1999,NC,North Carolina,Elementary Total,1694
16439,1999,NC,North Carolina,Masters Total,1707
16440,1999,NC,North Carolina,Other Total,2468
16441,1999,NC,North Carolina,PhD Total,129
16442,1999,NC,North Carolina,SPED Total,436
16443,1999,NC,North Carolina,State Total,4961
16444,1999,NC,North Carolina,STEM Total,363
16458,1999,ND,North Dakota,Bachelor Total,656
16459,1999,ND,North Dakota,Elementary Total,399
16460,1999,ND,North Dakota,Masters Total,226
16461,1999,ND,North Dakota,Other Total,382
16462,1999,ND,North Dakota,PhD Total,18
16463,1999,ND,North Dakota,SPED Total,69
16464,1999,ND,North Dakota,State Total,900
16465,1999,ND,North Dakota,STEM Total,50
16479,1999,NE,Nebraska,Bachelor Total,1348
16480,1999,NE,Nebraska,Elementary Total,789
16481,1999,NE,Nebraska,Masters Total,942
16482,1999,NE,Nebraska,Other Total,1273
16483,1999,NE,Nebraska,PhD Total,46
16484,1999,NE,Nebraska,SPED Total,189
16485,1999,NE,Nebraska,State Total,2336
16486,1999,NE,Nebraska,STEM Total,85
16500,1999,NH,New Hampshire,Bachelor Total,535
16501,1999,NH,New Hampshire,Elementary Total,395
16502,1999,NH,New Hampshire,Masters Total,617
16503,1999,NH,New Hampshire,Other Total,658
16504,1999,NH,New Hampshire,PhD Total,8
16505,1999,NH,New Hampshire,SPED Total,84
16506,1999,NH,New Hampshire,State Total,1160
16507,1999,NH,New Hampshire,STEM Total,23
16521,1999,NJ,New Jersey,Bachelor Total,2064
16522,1999,NJ,New Jersey,Elementary Total,1137
16523,1999,NJ,New Jersey,Masters Total,2432
16524,1999,NJ,New Jersey,Other Total,2371
16525,1999,NJ,New Jersey,PhD Total,54
16526,1999,NJ,New Jersey,SPED Total,897
16527,1999,NJ,New Jersey,State Total,4550
16528,1999,NJ,New Jersey,STEM Total,145
16542,1999,NM,New Mexico,Bachelor Total,1097
16543,1999,NM,New Mexico,Elementary Total,831
16544,1999,NM,New Mexico,Masters Total,842
16545,1999,NM,New Mexico,Other Total,944
16546,1999,NM,New Mexico,PhD Total,78
16547,1999,NM,New Mexico,SPED Total,184
16548,1999,NM,New Mexico,State Total,2017
16549,1999,NM,New Mexico,STEM Total,58
16563,1999,NV,Nevada,Bachelor Total,657
16564,1999,NV,Nevada,Elementary Total,331
16565,1999,NV,Nevada,Masters Total,541
16566,1999,NV,Nevada,Other Total,673
16567,1999,NV,Nevada,PhD Total,25
16568,1999,NV,Nevada,SPED Total,195
16569,1999,NV,Nevada,State Total,1223
16570,1999,NV,Nevada,STEM Total,24
16584,1999,NY,New York,Bachelor Total,7718
16585,1999,NY,New York,Elementary Total,6654
16586,1999,NY,New York,Masters Total,13857
16587,1999,NY,New York,Other Total,10272
16588,1999,NY,New York,PhD Total,408
16589,1999,NY,New York,SPED Total,3900
16590,1999,NY,New York,State Total,21983
16591,1999,NY,New York,STEM Total,1157
16605,1999,OH,Ohio,Bachelor Total,5575
16606,1999,OH,Ohio,Elementary Total,3525
16607,1999,OH,Ohio,Masters Total,5151
16608,1999,OH,Ohio,Other Total,6121
16609,1999,OH,Ohio,PhD Total,341
16610,1999,OH,Ohio,SPED Total,868
16611,1999,OH,Ohio,State Total,11067
16612,1999,OH,Ohio,STEM Total,553
16626,1999,OK,Oklahoma,Bachelor Total,3229
16627,1999,OK,Oklahoma,Elementary Total,1770
16628,1999,OK,Oklahoma,Masters Total,1395
16629,1999,OK,Oklahoma,Other Total,2540
16630,1999,OK,Oklahoma,PhD Total,129
16631,1999,OK,Oklahoma,SPED Total,257
16632,1999,OK,Oklahoma,State Total,4753
16633,1999,OK,Oklahoma,STEM Total,186
16647,1999,OR,Oregon,Bachelor Total,771
16648,1999,OR,Oregon,Elementary Total,343
16649,1999,OR,Oregon,Masters Total,1672
16650,1999,OR,Oregon,Other Total,1867
16651,1999,OR,Oregon,PhD Total,47
16652,1999,OR,Oregon,SPED Total,205
16653,1999,OR,Oregon,State Total,2490
16654,1999,OR,Oregon,STEM Total,75
16668,1999,PA,Pennsylvania,Bachelor Total,6964
16669,1999,PA,Pennsylvania,Elementary Total,4716
16670,1999,PA,Pennsylvania,Masters Total,4857
16671,1999,PA,Pennsylvania,Other Total,5533
16672,1999,PA,Pennsylvania,PhD Total,336
16673,1999,PA,Pennsylvania,SPED Total,1430
16674,1999,PA,Pennsylvania,State Total,12157
16675,1999,PA,Pennsylvania,STEM Total,478
16689,1999,RI,Rhode Island,Bachelor Total,724
16690,1999,RI,Rhode Island,Elementary Total,275
16691,1999,RI,Rhode Island,Masters Total,400
16692,1999,RI,Rhode Island,Other Total,530
16693,1999,RI,Rhode Island,PhD Total,16
16694,1999,RI,Rhode Island,SPED Total,283
16695,1999,RI,Rhode Island,State Total,1140
16696,1999,RI,Rhode Island,STEM Total,52
16710,1999,SC,South Carolina,Bachelor Total,1942
16711,1999,SC,South Carolina,Elementary Total,1533
16712,1999,SC,South Carolina,Masters Total,1662
16713,1999,SC,South Carolina,Other Total,1592
16714,1999,SC,South Carolina,PhD Total,96
16715,1999,SC,South Carolina,SPED Total,460
16716,1999,SC,South Carolina,State Total,3700
16717,1999,SC,South Carolina,STEM Total,115
16731,1999,SD,South Dakota,Bachelor Total,597
16732,1999,SD,South Dakota,Elementary Total,423
16733,1999,SD,South Dakota,Masters Total,338
16734,1999,SD,South Dakota,Other Total,434
16735,1999,SD,South Dakota,PhD Total,36
16736,1999,SD,South Dakota,SPED Total,63
16737,1999,SD,South Dakota,State Total,971
16738,1999,SD,South Dakota,STEM Total,51
16752,1999,TN,Tennessee,Bachelor Total,1356
16753,1999,TN,Tennessee,Elementary Total,562
16754,1999,TN,Tennessee,Masters Total,2583
16755,1999,TN,Tennessee,Other Total,2984
16756,1999,TN,Tennessee,PhD Total,139
16757,1999,TN,Tennessee,SPED Total,382
16758,1999,TN,Tennessee,State Total,4078
16759,1999,TN,Tennessee,STEM Total,150
16773,1999,TX,Texas,Bachelor Total,2827
16774,1999,TX,Texas,Elementary Total,1594
16775,1999,TX,Texas,Masters Total,5340
16776,1999,TX,Texas,Other Total,6110
16777,1999,TX,Texas,PhD Total,417
16778,1999,TX,Texas,SPED Total,519
16779,1999,TX,Texas,State Total,8584
16780,1999,TX,Texas,STEM Total,361
16794,1999,UT,Utah,Bachelor Total,1952
16795,1999,UT,Utah,Elementary Total,1001
16796,1999,UT,Utah,Masters Total,685
16797,1999,UT,Utah,Other Total,1300
16798,1999,UT,Utah,PhD Total,47
16799,1999,UT,Utah,SPED Total,142
16800,1999,UT,Utah,State Total,2684
16801,1999,UT,Utah,STEM Total,241
16815,1999,VA,Virginia,Bachelor Total,821
16816,1999,VA,Virginia,Elementary Total,680
16817,1999,VA,Virginia,Masters Total,3468
16818,1999,VA,Virginia,Other Total,3283
16819,1999,VA,Virginia,PhD Total,219
16820,1999,VA,Virginia,SPED Total,401
16821,1999,VA,Virginia,State Total,4508
16822,1999,VA,Virginia,STEM Total,144
16836,1999,VT,Vermont,Bachelor Total,279
16837,1999,VT,Vermont,Elementary Total,225
16838,1999,VT,Vermont,Masters Total,462
16839,1999,VT,Vermont,Other Total,478
16840,1999,VT,Vermont,PhD Total,16
16841,1999,VT,Vermont,SPED Total,48
16842,1999,VT,Vermont,State Total,757
16843,1999,VT,Vermont,STEM Total,6
16857,1999,WA,Washington,Bachelor Total,1651
16858,1999,WA,Washington,Elementary Total,540
16859,1999,WA,Washington,Masters Total,2664
16860,1999,WA,Washington,Other Total,3150
16861,1999,WA,Washington,PhD Total,103
16862,1999,WA,Washington,SPED Total,232
16863,1999,WA,Washington,State Total,4418
16864,1999,WA,Washington,STEM Total,496
16878,1999,WI,Wisconsin,Bachelor Total,2572
16879,1999,WI,Wisconsin,Elementary Total,1381
16880,1999,WI,Wisconsin,Masters Total,2190
16881,1999,WI,Wisconsin,Other Total,2880
16882,1999,WI,Wisconsin,PhD Total,88
16883,1999,WI,Wisconsin,SPED Total,432
16884,1999,WI,Wisconsin,State Total,4850
16885,1999,WI,Wisconsin,STEM Total,157
16899,1999,WV,West Virginia,Bachelor Total,997
16900,1999,WV,West Virginia,Elementary Total,561
16901,1999,WV,West Virginia,Masters Total,867
16902,1999,WV,West Virginia,Other Total,1142
16903,1999,WV,West Virginia,PhD Total,57
16904,1999,WV,West Virginia,SPED Total,185
16905,1999,WV,West Virginia,State Total,1921
16906,1999,WV,West Virginia,STEM Total,33
16920,1999,WY,Wyoming,Bachelor Total,338
16921,1999,WY,Wyoming,Elementary Total,173
16922,1999,WY,Wyoming,Masters Total,93
16923,1999,WY,Wyoming,Other Total,236
16924,1999,WY,Wyoming,PhD Total,8
16925,1999,WY,Wyoming,SPED Total,22
16926,1999,WY,Wyoming,State Total,439
16927,1999,WY,Wyoming,STEM Total,8
16941,2000,AK,Alaska,Bachelor Total,193
16942,2000,AK,Alaska,Elementary Total,135
16943,2000,AK,Alaska,Masters Total,201
16944,2000,AK,Alaska,Other Total,244
16945,2000,AK,Alaska,PhD Total,0
16946,2000,AK,Alaska,SPED Total,15
16947,2000,AK,Alaska,State Total,394
16948,2000,AK,Alaska,STEM Total,0
16962,2000,AL,Alabama,Bachelor Total,3128
16963,2000,AL,Alabama,Elementary Total,2560
16964,2000,AL,Alabama,Masters Total,2591
16965,2000,AL,Alabama,Other Total,2578
16966,2000,AL,Alabama,PhD Total,104
16967,2000,AL,Alabama,SPED Total,505
16968,2000,AL,Alabama,State Total,5823
16969,2000,AL,Alabama,STEM Total,180
16983,2000,AR,Arkansas,Bachelor Total,1533
16984,2000,AR,Arkansas,Elementary Total,1038
16985,2000,AR,Arkansas,Masters Total,926
16986,2000,AR,Arkansas,Other Total,1086
16987,2000,AR,Arkansas,PhD Total,41
16988,2000,AR,Arkansas,SPED Total,205
16989,2000,AR,Arkansas,State Total,2500
16990,2000,AR,Arkansas,STEM Total,171
17004,2000,AZ,Arizona,Bachelor Total,2423
17005,2000,AZ,Arizona,Elementary Total,1960
17006,2000,AZ,Arizona,Masters Total,2848
17007,2000,AZ,Arizona,Other Total,2852
17008,2000,AZ,Arizona,PhD Total,129
17009,2000,AZ,Arizona,SPED Total,468
17010,2000,AZ,Arizona,State Total,5400
17011,2000,AZ,Arizona,STEM Total,120
17025,2000,CA, California,Bachelor Total,3894
17026,2000,CA, California,Elementary Total,1909
17027,2000,CA, California,Masters Total,9342
17028,2000,CA, California,Other Total,11094
17029,2000,CA, California,PhD Total,602
17030,2000,CA, California,SPED Total,512
17031,2000,CA, California,State Total,13838
17032,2000,CA, California,STEM Total,323
17046,2000,CO,Colorado,Bachelor Total,120
17047,2000,CO,Colorado,Elementary Total,195
17048,2000,CO,Colorado,Masters Total,1546
17049,2000,CO,Colorado,Other Total,1238
17050,2000,CO,Colorado,PhD Total,98
17051,2000,CO,Colorado,SPED Total,324
17052,2000,CO,Colorado,State Total,1764
17053,2000,CO,Colorado,STEM Total,7
17067,2000,CT,Connecticut,Bachelor Total,522
17068,2000,CT,Connecticut,Elementary Total,692
17069,2000,CT,Connecticut,Masters Total,2012
17070,2000,CT,Connecticut,Other Total,1462
17071,2000,CT,Connecticut,PhD Total,46
17072,2000,CT,Connecticut,SPED Total,368
17073,2000,CT,Connecticut,State Total,2580
17074,2000,CT,Connecticut,STEM Total,58
17088,2000,DE,Delaware,Bachelor Total,508
17089,2000,DE,Delaware,Elementary Total,467
17090,2000,DE,Delaware,Masters Total,474
17091,2000,DE,Delaware,Other Total,446
17092,2000,DE,Delaware,PhD Total,37
17093,2000,DE,Delaware,SPED Total,78
17094,2000,DE,Delaware,State Total,1019
17095,2000,DE,Delaware,STEM Total,28
17109,2000,FL,Florida,Bachelor Total,5527
17110,2000,FL,Florida,Elementary Total,4164
17111,2000,FL,Florida,Masters Total,4314
17112,2000,FL,Florida,Other Total,4234
17113,2000,FL,Florida,PhD Total,683
17114,2000,FL,Florida,SPED Total,1479
17115,2000,FL,Florida,State Total,10524
17116,2000,FL,Florida,STEM Total,647
17130,2000,GA,Georgia,Bachelor Total,3766
17131,2000,GA,Georgia,Elementary Total,2289
17132,2000,GA,Georgia,Masters Total,3109
17133,2000,GA,Georgia,Other Total,3601
17134,2000,GA,Georgia,PhD Total,169
17135,2000,GA,Georgia,SPED Total,649
17136,2000,GA,Georgia,State Total,7044
17137,2000,GA,Georgia,STEM Total,505
17151,2000,HI,Hawaii,Bachelor Total,324
17152,2000,HI,Hawaii,Elementary Total,133
17153,2000,HI,Hawaii,Masters Total,305
17154,2000,HI,Hawaii,Other Total,357
17155,2000,HI,Hawaii,PhD Total,12
17156,2000,HI,Hawaii,SPED Total,85
17157,2000,HI,Hawaii,State Total,641
17158,2000,HI,Hawaii,STEM Total,66
17172,2000,IA,Iowa,Bachelor Total,2348
17173,2000,IA,Iowa,Elementary Total,1652
