,year,state_short,state_long,indicator,value
501,1984,MO,Missouri,SPED Total,421
502,1984,MO,Missouri,State Total,4948
503,1984,MO,Missouri,STEM Total,285
517,1984,MS,Mississippi,Bachelor Total,1550
518,1984,MS,Mississippi,Elementary Total,657
519,1984,MS,Mississippi,Masters Total,844
520,1984,MS,Mississippi,Other Total,1434
521,1984,MS,Mississippi,PhD Total,104
522,1984,MS,Mississippi,SPED Total,246
523,1984,MS,Mississippi,State Total,2498
524,1984,MS,Mississippi,STEM Total,161
538,1984,MT,Montana,Bachelor Total,685
539,1984,MT,Montana,Elementary Total,384
540,1984,MT,Montana,Masters Total,252
541,1984,MT,Montana,Other Total,461
542,1984,MT,Montana,PhD Total,15
543,1984,MT,Montana,SPED Total,35
544,1984,MT,Montana,State Total,952
545,1984,MT,Montana,STEM Total,72
546,1984,NAT,National Total,Bachelor Total,91883
547,1984,NAT,National Total,Elementary Total,49697
548,1984,NAT,National Total,Masters Total,75071
549,1984,NAT,National Total,Other Total,92047
550,1984,NAT,National Total,PhD Total,6792
551,1984,NAT,National Total,SPED Total,20863
552,1984,NAT,National Total,State Total,173746
553,1984,NAT,National Total,STEM Total,11139
567,1984,NC,North Carolina,Bachelor Total,2706
568,1984,NC,North Carolina,Elementary Total,1536
569,1984,NC,North Carolina,Masters Total,1922
570,1984,NC,North Carolina,Other Total,2015
571,1984,NC,North Carolina,PhD Total,119
572,1984,NC,North Carolina,SPED Total,593
573,1984,NC,North Carolina,State Total,4747
574,1984,NC,North Carolina,STEM Total,603
588,1984,ND,North Dakota,Bachelor Total,748
589,1984,ND,North Dakota,Elementary Total,351
590,1984,ND,North Dakota,Masters Total,178
591,1984,ND,North Dakota,Other Total,444
592,1984,ND,North Dakota,PhD Total,14
593,1984,ND,North Dakota,SPED Total,105
594,1984,ND,North Dakota,State Total,940
595,1984,ND,North Dakota,STEM Total,40
609,1984,NE,Nebraska,Bachelor Total,1487
610,1984,NE,Nebraska,Elementary Total,726
611,1984,NE,Nebraska,Masters Total,606
612,1984,NE,Nebraska,Other Total,1061
613,1984,NE,Nebraska,PhD Total,41
614,1984,NE,Nebraska,SPED Total,170
615,1984,NE,Nebraska,State Total,2134
616,1984,NE,Nebraska,STEM Total,177
630,1984,NH,New Hampshire,Bachelor Total,361
631,1984,NH,New Hampshire,Elementary Total,144
632,1984,NH,New Hampshire,Masters Total,269
633,1984,NH,New Hampshire,Other Total,377
634,1984,NH,New Hampshire,PhD Total,0
635,1984,NH,New Hampshire,SPED Total,83
636,1984,NH,New Hampshire,State Total,630
637,1984,NH,New Hampshire,STEM Total,26
651,1984,NJ,New Jersey,Bachelor Total,2003
652,1984,NJ,New Jersey,Elementary Total,1152
653,1984,NJ,New Jersey,Masters Total,1916
654,1984,NJ,New Jersey,Other Total,1903
655,1984,NJ,New Jersey,PhD Total,109
656,1984,NJ,New Jersey,SPED Total,713
657,1984,NJ,New Jersey,State Total,4028
658,1984,NJ,New Jersey,STEM Total,260
672,1984,NM,New Mexico,Bachelor Total,601
673,1984,NM,New Mexico,Elementary Total,406
674,1984,NM,New Mexico,Masters Total,641
675,1984,NM,New Mexico,Other Total,769
676,1984,NM,New Mexico,PhD Total,71
677,1984,NM,New Mexico,SPED Total,104
678,1984,NM,New Mexico,State Total,1313
679,1984,NM,New Mexico,STEM Total,34
693,1984,NV,Nevada,Bachelor Total,236
694,1984,NV,Nevada,Elementary Total,97
695,1984,NV,Nevada,Masters Total,217
696,1984,NV,Nevada,Other Total,286
697,1984,NV,Nevada,PhD Total,9
698,1984,NV,Nevada,SPED Total,72
699,1984,NV,Nevada,State Total,462
700,1984,NV,Nevada,STEM Total,7
714,1984,NY,New York,Bachelor Total,4898
715,1984,NY,New York,Elementary Total,3394
716,1984,NY,New York,Masters Total,7441
717,1984,NY,New York,Other Total,5783
718,1984,NY,New York,PhD Total,496
719,1984,NY,New York,SPED Total,3191
720,1984,NY,New York,State Total,12835
721,1984,NY,New York,STEM Total,467
735,1984,OH,Ohio,Bachelor Total,4624
736,1984,OH,Ohio,Elementary Total,2488
737,1984,OH,Ohio,Masters Total,3928
738,1984,OH,Ohio,Other Total,4986
739,1984,OH,Ohio,PhD Total,371
740,1984,OH,Ohio,SPED Total,879
741,1984,OH,Ohio,State Total,8923
742,1984,OH,Ohio,STEM Total,570
756,1984,OK,Oklahoma,Bachelor Total,2182
757,1984,OK,Oklahoma,Elementary Total,1036
758,1984,OK,Oklahoma,Masters Total,1486
759,1984,OK,Oklahoma,Other Total,2071
760,1984,OK,Oklahoma,PhD Total,152
761,1984,OK,Oklahoma,SPED Total,427
762,1984,OK,Oklahoma,State Total,3820
763,1984,OK,Oklahoma,STEM Total,286
777,1984,OR,Oregon,Bachelor Total,1337
778,1984,OR,Oregon,Elementary Total,726
779,1984,OR,Oregon,Masters Total,1015
780,1984,OR,Oregon,Other Total,1285
781,1984,OR,Oregon,PhD Total,115
782,1984,OR,Oregon,SPED Total,317
783,1984,OR,Oregon,State Total,2467
784,1984,OR,Oregon,STEM Total,139
798,1984,PA,Pennsylvania,Bachelor Total,4808
799,1984,PA,Pennsylvania,Elementary Total,2355
800,1984,PA,Pennsylvania,Masters Total,2785
801,1984,PA,Pennsylvania,Other Total,3842
802,1984,PA,Pennsylvania,PhD Total,434
803,1984,PA,Pennsylvania,SPED Total,1391
804,1984,PA,Pennsylvania,State Total,8027
805,1984,PA,Pennsylvania,STEM Total,439
819,1984,RI,Rhode Island,Bachelor Total,315
820,1984,RI,Rhode Island,Elementary Total,115
821,1984,RI,Rhode Island,Masters Total,258
822,1984,RI,Rhode Island,Other Total,265
823,1984,RI,Rhode Island,PhD Total,0
824,1984,RI,Rhode Island,SPED Total,148
825,1984,RI,Rhode Island,State Total,573
826,1984,RI,Rhode Island,STEM Total,45
840,1984,SC,South Carolina,Bachelor Total,1828
841,1984,SC,South Carolina,Elementary Total,1490
842,1984,SC,South Carolina,Masters Total,1419
843,1984,SC,South Carolina,Other Total,1465
844,1984,SC,South Carolina,PhD Total,56
845,1984,SC,South Carolina,SPED Total,237
846,1984,SC,South Carolina,State Total,3303
847,1984,SC,South Carolina,STEM Total,111
861,1984,SD,South Dakota,Bachelor Total,646
862,1984,SD,South Dakota,Elementary Total,242
863,1984,SD,South Dakota,Masters Total,207
864,1984,SD,South Dakota,Other Total,433
865,1984,SD,South Dakota,PhD Total,0
866,1984,SD,South Dakota,SPED Total,103
867,1984,SD,South Dakota,State Total,853
868,1984,SD,South Dakota,STEM Total,75
882,1984,TN,Tennessee,Bachelor Total,2246
883,1984,TN,Tennessee,Elementary Total,1195
884,1984,TN,Tennessee,Masters Total,1454
885,1984,TN,Tennessee,Other Total,2175
886,1984,TN,Tennessee,PhD Total,246
887,1984,TN,Tennessee,SPED Total,375
888,1984,TN,Tennessee,State Total,3946
889,1984,TN,Tennessee,STEM Total,201
903,1984,TX,Texas,Bachelor Total,7969
904,1984,TX,Texas,Elementary Total,4503
905,1984,TX,Texas,Masters Total,4562
906,1984,TX,Texas,Other Total,6873
907,1984,TX,Texas,PhD Total,384
908,1984,TX,Texas,SPED Total,581
909,1984,TX,Texas,State Total,12915
910,1984,TX,Texas,STEM Total,958
924,1984,UT,Utah,Bachelor Total,1607
925,1984,UT,Utah,Elementary Total,488
926,1984,UT,Utah,Masters Total,480
927,1984,UT,Utah,Other Total,906
928,1984,UT,Utah,PhD Total,116
929,1984,UT,Utah,SPED Total,191
930,1984,UT,Utah,State Total,2203
931,1984,UT,Utah,STEM Total,618
945,1984,VA,Virginia,Bachelor Total,2014
946,1984,VA,Virginia,Elementary Total,1069
947,1984,VA,Virginia,Masters Total,1500
948,1984,VA,Virginia,Other Total,1832
949,1984,VA,Virginia,PhD Total,147
950,1984,VA,Virginia,SPED Total,581
951,1984,VA,Virginia,State Total,3661
952,1984,VA,Virginia,STEM Total,179
966,1984,VT,Vermont,Bachelor Total,339
967,1984,VT,Vermont,Elementary Total,143
968,1984,VT,Vermont,Masters Total,349
969,1984,VT,Vermont,Other Total,366
970,1984,VT,Vermont,PhD Total,0
971,1984,VT,Vermont,SPED Total,163
972,1984,VT,Vermont,State Total,688
973,1984,VT,Vermont,STEM Total,16
987,1984,WA,Washington,Bachelor Total,1652
988,1984,WA,Washington,Elementary Total,537
989,1984,WA,Washington,Masters Total,792
990,1984,WA,Washington,Other Total,1613
